;eartag;X;date;day;year_time;time;plot;Abundance;trap;station;biomark;seed_number;seed_weight;PIT_tag;Sex;Sex2;Body_mass;reproductive_state;seed_status;intact;missing;partiallyeaten;eaten;cached;dispersal_distance;distance_cm;distance;perc_eaten;hidden;test;latency;cross;manipulator;bag_struggle;watched;dispersal_tree;distance_tree_cm;distance_tree;tree_diameter;tree_species;Notes;Exploration_rate
1034;3098;6607;03.09.2022;79;2022;NA;karpaty;31;E4;E4-karpaty;2;5;2,734;6,16E+14;F;F;29;NP;IS;1;NA;NA;NA;NA;NA;0;0;0;NA;YES;0;8;PP;55;PP;NA;NA;NA;NA;NA;;0,107541147
1035;3098;6635;04.09.2022;80;2022;NA;karpaty;31;F4;F4-karpaty;2;4;2,464;6,16E+14;F;F;29;NP;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;8;PP;55;PP;NA;NA;NA;NA;FAGUS SYLVATICA;;0,107541147
1036;3098;6633;04.09.2022;80;2022;NA;karpaty;31;F4;F4-karpaty;2;3;2,179;6,16E+14;F;F;29;NP;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;8;PP;55;PP;NA;NA;NA;NA;FAGUS SYLVATICA;;0,107541147
1037;3098;6601;03.09.2022;79;2022;NA;karpaty;31;E4;E4-karpaty;2;2;3,509;6,16E+14;F;F;29;NP;IS;1;NA;NA;NA;NA;NA;0;0;0;NA;YES;0;8;PP;55;PP;NA;NA;NA;NA;NA;;0,107541147
1038;3098;6599;03.09.2022;79;2022;04:24:47;karpaty;31;E4;E4-karpaty;2;1;3,362;6,16E+14;F;F;29;NP;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;8;PP;55;PP;NA;NA;NA;NA;NA;;0,107541147
1039;3098;6605;03.09.2022;79;2022;04:24:47;karpaty;31;E4;E4-karpaty;2;4;2,966;6,16E+14;F;F;29;NP;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;8;PP;55;PP;NA;NA;NA;NA;NA;;0,107541147
1040;311;3157;16.07.2020;30;2020;01:02:26;bagno;49;E9;E9-bagno;3;2;NA;9,68E+14;F;F;13;JUV;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;6;JW;22;JW;NA;NA;NA;NA;NA;;-0,229486391
1041;311;3158;16.07.2020;30;2020;01:41:17;bagno;49;E9;E9-bagno;3;3;NA;9,68E+14;F;F;13;JUV;CAR;0;0;0;0;1;21,6;2160;21,6;0;leaves;YES;0;6;JW;22;JW;NA;NA;NA;NA;NA;;-0,229486391
1042;3115;6709;07.09.2022;83;2022;02:51:36;trojkat;19;G7;G7-trójk¹t;6;3;4,198;9,00E+14;M;MS;31;S;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;21;MW;15;MW;NA;NA;NA;NA;NA;;0,143601406
1043;3115;6705;07.09.2022;83;2022;00:04:40;trojkat;19;G7;G7-trójk¹t;6;1;4,064;9,00E+14;M;MS;31;S;EAR;0;0;0;1;0;NA;251;2,51;100;NA;YES;0;21;MW;15;MW;NA;0;0;135;FAGUS SYLVATICA;;0,143601406
